Industry Group|SIC|Description
496|4961|Steam and Air-Conditioning Supply
497|4971|Irrigation Systems
501|5012|Automobiles and Other Motor Vehicles
501|5013|Motor Vehicle Supplies and New Parts
501|5014|Tires and Tubes
501|5015|Motor Vehicle Parts, Used
502|5021|Furniture
502|5023|Home furnishings
503|5031|Lumber, Plywood, Millwork, and Wood Panels
503|5032|Brick, Stone, and Related Construction Materials
503|5033|Roofing, Siding, and Insulation Materials
503|5039|Construction Materials, Not Elsewhere Classified
504|5043|Photographic Equipment and Supplies
504|5044|Office Equipment
504|5045|Computers and Computer Peripheral Equipment and Software
504|5046|Commercial Equipment, Not Elsewhere Classified
504|5047|Medical, Dental, and Hospital Equipment and Supplies
504|5048|Ophthalmic Goods
504|5049|Professional Equipment and Supplies, Not Elsewhere Classified
505|5051|Metals Service Centers and Offices
505|5052|Coal and Other Minerals and Ores
506|5063|Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials
506|5064|Electrical Appliances, Television and Radio Sets
506|5065|Electronic Parts and Equipment, Not Elsewhere Classified
507|5072|Hardware
507|5074|Plumbing and Heating Equipment and Supplies (Hydronics)
507|5075|Warm Air Heating and Air-Conditioning Equipment and Supplies
507|5078|Refrigeration Equipment and Supplies
508|5082|Construction and Mining (Except Petroleum) Machinery and Equipment
508|5083|Farm and Garden Machinery and Equipment
508|5084|Industrial Machinery and Equipment
508|5085|Industrial Supplies
508|5087|Service Establishment Equipment and Supplies
508|5088|Transportation Equipment and Supplies, Except Motor Vehicles
509|5091|Sporting and Recreational Goods and Supplies
509|5092|Toys and Hobby Goods and Supplies
509|5093|Scrap and Waste Materials
509|5094|Jewelry, Watches, Precious Stones, and Precious Metals
509|5099|Durable Goods, Not Elsewhere Classified
511|5111|Printing and Writing Paper
511|5112|Stationery and Office Supplies
511|5113|Industrial and Personal Service Paper
512|5122|Drugs, Drug Proprietaries, and Druggists' Sundries
513|5131|Piece Goods, Notions, and Other Dry Good
513|5136|Men's and Boy's Clothing and Furnishings
513|5137|Women's, Children's, and Infants' Clothing and Accessories
513|5139|Footwear
514|5141|Groceries, General Line
514|5142|Packaged Frozen Foods
514|5143|Dairy Products, Except Dried or Canned
514|5144|Poultry and Poultry Products
514|5145|Confectionery
514|5146|Fish and Seafoods
514|5147|Meats and Meat Products
514|5148|Fresh Fruits and Vegetables
514|5149|Groceries and Related Products, Not Elsewhere Classified
515|5153|Grain and Field Beans
515|5154|Livestock
515|5159|Farm-Product Raw Materials, Not Elsewhere Classified
516|5162|Plastics Materials and Basic Forms and Shapes
516|5169|Chemicals and Allied Products, Not Elsewhere Classified
517|5171|Petroleum Bulk stations and Terminals
517|5172|Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals
518|5181|Beer and Ale
518|5182|Wine and Distilled Alcoholic Beverages
519|5191|Farm Supplies
519|5192|Books, Periodicals, and Newspapers
519|5193|Flowers, Nursery Stock, and Florists' Supplies
519|5194|Tobacco and Tobacco Products
519|5198|Paints, Varnishes, and Supplies
519|5199|Nondurable Goods, Not Elsewhere Classified
521|5211|Lumber and Other Building Materials Dealers
523|5231|Paint, Glass, and Wallpaper Stores
525|5251|Hardware Stores
526|5261|Retail Nurseries, Lawn and Garden Supply Stores
527|5271|Mobile Home Dealers
531|5311|Department Stores
533|5331|Variety Stores
539|5399|Miscellaneous General Merchandise Stores
541|5411|Grocery Stores
542|5421|Meat and Fish (Seafood) Markets, Including Freezer Provisioners
543|5431|Fruit and Vegetable Markets
544|5441|Candy, Nut, and Confectionery Stores
545|5451|Dairy Products Stores
546|5461|Retail Bakeries
549|5499|Miscellaneous Food Stores
551|5511|Motor Vehicle Dealers (New and Used)
552|5521|Motor Vehicle Dealers (Used Only)
553|5531|Auto and Home Supply Stores
554|5541|Gasoline Service Stations
555|5551|Boat Dealers
556|5561|Recreational Vehicle Dealers
557|5571|Motorcycle Dealers
559|5599|Automotive Dealers, Not Elsewhere Classified
561|5611|Men's and Boys' Clothing and Accessory Stores
562|5621|Women's Clothing Stores
563|5632|Women's Accessory and Specialty Stores
564|5641|Children's and Infants' Wear Stores
565|5651|Family Clothing Stores
566|5661|Shoe Stores
569|5699|Miscellaneous Apparel and Accessory Stores
571|5712|Furniture Stores
571|5713|Floor Covering Stores
571|5714|Drapery, Curtain, and Upholstery Stores
571|5719|Miscellaneous home furnishings Stores
572|5722|Household Appliance Stores
573|5731|Radio, Television, and Consumer Electronics Stores
573|5734|Computer and Computer Software Stores
573|5735|Record and Prerecorded Tape Stores
573|5736|Musical Instrument Stores
581|5812|Eating Places
581|5813|Drinking Places (alcoholic Beverages)
591|5912|Drug Stores and Proprietary Stores
592|5921|Liquor Stores
593|5932|Used Merchandise Stores
594|5941|Sporting Goods Stores and Bicycle Shops
594|5942|Book Stores
594|5943|Stationery Stores
594|5944|Jewelry Stores
594|5945|Hobby, Toy, and Game Shops
594|5946|Camera and Photographic Supply Stores
594|5947|Gift, Novelty, and Souvenir Shops
594|5948|Luggage and Leather Goods Stores
594|5949|Sewing, Needlework, and Piece Goods Stores
596|5961|Catalog and Mail-Order Houses
596|5962|Automatic Merchandising Machine Operators
596|5963|Direct Selling Establishments
598|5983|Fuel Oil Dealers
598|5984|Liquefied Petroleum Gas (Bottled Gas) Dealers
598|5989|Fuel Dealers, Not Elsewhere Classified
599|5992|Florists
599|5993|Tobacco Stores and Stands
599|5994|News Dealers and Newsstands
599|5995|Optical Goods Stores
599|5999|Miscellaneous Retail Stores, Not Elsewhere Classified
601|6011|Federal Reserve Banks
601|6019|Central Reserve Depository Institutions, Not Elsewhere Classified
602|6021|National Commercial Banks
602|6022|State Commercial Banks
602|6029|Commercial Banks, Not Elsewhere Classified
603|6035|Savings Institutions, Federally Chartered
603|6036|Savings Institutions, Not Federally Chartered
606|6061|Credit Unions, Federally Chartered
606|6062|Credit Unions, Not Federally Chartered
608|6081|Branches and Agencies of Foreign Banks
608|6082|Foreign Trade and International Banking Institutions
609|6091|Non-deposit Trust Facilities,
609|6099|Functions Related to Depository Banking, Not Elsewhere Classified
611|6111|Federal and Federally-Sponsored Credit Agencies
614|6141|Personal Credit Institutions
615|6153|Short-Term Business Credit Institutions, Except Agricultural
615|6159|Miscellaneous business Credit Institutions
616|6162|Mortgage Bankers and Loan Correspondents
616|6163|Loan Brokers
621|6211|Security Brokers, Dealers, and Flotation Companies
622|6221|Commodity Contracts Brokers and Dealers
623|6231|Security and Commodity Exchanges
628|6282|Investment Advice
628|6289|Services Allied With the Exchange of Securities or Commodities, Not Elsewhere Classified
631|6311|Life Insurance
632|6321|Accident and Health Insurance
632|6324|Hospital and Medical Service Plans
633|6331|Fire, Marine, and Casualty Insurance
635|6351|Surety Insurance
636|6361|Title Insurance
637|6371|Pension, Health, and Welfare Funds
639|6399|Insurance Carriers, Not Elsewhere Classified
641|6411|Insurance Agents, Brokers, and Service
651|6512|Operators of Nonresidential Buildings
651|6513|Operators of Apartment Buildings
651|6514|Operators of Dwellings Other Than Apartment Buildings
651|6515|Operators of Residential Mobile Home Sites
651|6517|Lessors of Railroad Property
651|6519|Lessors of Real Property, Not Elsewhere Classified
653|6531|Real Estate Agents and Managers
654|6541|Title Abstract Offices
655|6552|Land Subdividers and Developers, Except Cemeteries
655|6553|Cemetery Subdividers and Developers
671|6712|Offices of Bank Holding Companies
671|6719|Offices of Holding Companies, Not Elsewhere Classified
672|6722|Management Investment Offices, Open-End
672|6726|Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices
673|6732|Educational, Religious, and Charitable Trusts
673|6733|Trusts, Except Educational, Religious, and Charitable
679|6792|Oil Royalty Traders
679|6794|Patent Owners and Lessors
679|6798|Real Estate Investment Trusts
679|6799|Investors, Not Elsewhere Classified
701|7011|Hotels and Motels
702|7021|Rooming and Boarding Houses
703|7032|Sporting and Recreational Camps
703|7033|Recreational Vehicle Parks and Campsites
704|7041|Organization Hotels and Lodging Houses, on Membership Basis
721|7211|Power Laundries, Family and Commercial
721|7212|Garment Pressing, and Agents for Laundries and Drycleaners
721|7213|Linen Supply
721|7215|Coin-Operated Laundries and Drycleaning
721|7216|Drycleaning Plants, Except Rug Cleaning
721|7217|Carpet and Upholstery Cleaning
721|7218|Industrial Launderers
721|7219|Laundry and Garment Services, Not Elsewhere Classified
722|7221|Photographic Studios, Portrait
723|7231|Beauty Shops
724|7241|Barber Shops
725|7251|Shoe Repair Shops and Shoeshine Parlors
726|7261|Funeral Service and Crematories
729|7291|Tax Return Preparation Services
729|7299|Miscellaneous Personal Services, Not Elsewhere Classified
731|7311|Advertising Agencies
731|7312|Outdoor Advertising Services
731|7313|Radio, Television, and Publishers' Advertising Representatives
731|7319|Advertising, Not Elsewhere Classified
732|7322|Adjustment and Collection Services
732|7323|Credit Reporting Services
733|7331|Direct Mail Advertising Services
733|7334|Photocopying and Duplicating Services
733|7335|Commercial Photography
733|7336|Commercial Art and Graphic Design
733|7338|Secretarial and Court Reporting Services
734|7342|Disinfecting and Pest Control Services
734|7349|Building Cleaning and Maintenance Services, Not Elsewhere
735|7352|Medical Equipment Rental and Leasing
735|7353|Heavy Construction Equipment Rental and Leasing
735|7359|Equipment Rental and Leasing, Not Elsewhere Classified
736|7361|Employment Agencies
736|7363|Help Supply Services
737|7371|Computer Programming Services
737|7372|Prepackaged Software
737|7373|Computer Integrated Systems Design
737|7374|Computer Processing and Data Preparation and Processing Services
737|7375|Information Retrieval Services
737|7376|Computer Facilities Management Services
737|7377|Computer Rental and Leasing
737|7378|Computer Maintenance and Repair
737|7379|Computer Related Services, Not Elsewhere Classified
738|7381|Detective, Guard, and Armored Car Services
738|7382|Security Systems Services
738|7383|News Syndicates
738|7384|Photofinishing Laboratories
738|7389|Business Services, Not Elsewhere Classified
751|7513|Truck Rental and Leasing, Without Drivers
751|7514|Passenger Car Rental
751|7515|Passenger Car Leasing
751|7519|Utility Trailer and Recreational Vehicle Rental
752|7521|Automobile Parking
753|7532|Top, Body, and Upholstery Repair Shops and Paint Shops
753|7533|Automotive Exhaust System Repair Shops
753|7534|Tire Retreading and Repair Shops
753|7536|Automotive Glass Replacement Shops
753|7537|Automotive Transmission Repair Shops
753|7538|General Automotive Repair Shops
753|7539|Automotive Repair Shops, Not Elsewhere Classified
754|7542|Carwashes
754|7549|Automotive Services, Except Repair and Carwashes
762|7622|Radio and Television Repair Shops
762|7623|Refrigeration and Air-Conditioning Service and Repair Shops
762|7629|Electrical and Electronic Repair Shops, Not Elsewhere Classified
763|7631|Watch, Clock, and Jewelry Repair
764|7641|Reupholstery and Furniture Repair
769|7692|Welding Repair
769|7694|Armature Rewinding Shops
769|7699|Repair Shops and Related Services, Not Elsewhere Classified
781|7812|Motion Picture and Video Tape Production
781|7819|Services Allied to Motion Picture Production
782|7822|Motion Picture and Video Tape Distribution
782|7829|Services Allied to Motion Picture Distribution
783|7832|Motion Picture Theaters, Except Drive-In
783|7833|Drive-In Motion Picture Theaters
784|7841|Video Tape Rental
791|7911|Dance Studios, Schools, and Halls
792|7922|Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services
792|7929|Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups
793|7933|Bowling Centers
794|7941|Professional Sports Clubs and Promoters
794|7948|Racing, Including Track Operation
799|7991|Physical Fitness Facilities
799|7992|Public Golf Courses
799|7993|Coin-Operated Amusement Devices
799|7996|Amusement Parks
799|7997|Membership Sports and Recreation Clubs
799|7999|Amusement and Recreation Services, Not Elsewhere Classified
801|8011|Offices and Clinics of Doctors of Medicine
802|8021|Offices and Clinics of Dentists
803|8031|Offices and Clinics of Doctors of Osteopathy
804|8041|Offices and Clinics of Chiropractors
804|8042|Offices and Clinics of Optometrists
804|8043|Offices and Clinics of Podiatrists
804|8049|Offices and Clinics of Health Practitioners, Not Elsewhere Classified
805|8051|Skilled Nursing Care Facilities
805|8052|Intermediate Care Facilities
805|8059|Nursing and Personal Care Facilities, Not Elsewhere Classified
806|8062|General Medical and Surgical Hospitals
806|8063|Psychiatric Hospitals
806|8069|Specialty Hospitals, Except Psychiatric
807|8071|Medical Laboratories
807|8072|Dental Laboratories
808|8082|Home Health Care Services
809|8092|Kidney Dialysis Centers
809|8093|Specialty Outpatient Facilities, Not Elsewhere Classified
809|8099|Health and Allied Services, Not Elsewhere Classified
811|8111|Legal Services
821|8211|Elementary and Secondary Schools
822|8221|Colleges, Universities, and Professional Schools
822|8222|Junior Colleges and Technical Institutes
823|8231|Libraries
824|8243|Data Processing Schools
824|8244|Business and Secretarial Schools
824|8249|Vocational Schools, Not Elsewhere Classified
829|8299|Schools and Educational Services, Not Elsewhere Classified
832|8322|Individual and Family Social Services
833|8331|Job Training and Vocational Rehabilitation Services
835|8351|Child Day Care Services
836|8361|Residential Care
839|8399|Social Services, Not Elsewhere Classified
841|8412|Museums and Art Galleries
842|8422|Arboreta and Botanical or Zoological Gardens
861|8611|Business Associations
862|8621|Professional Membership Organizations
863|8631|Labor Unions and Similar Labor Organizations
864|8641|Civic, Social, and Fraternal Associations
865|8651|Political Organizations
866|8661|Religious Organizations
869|8699|Membership Organizations, Not Elsewhere Classified
871|8711|Engineering Services
871|8712|Architectural Services
871|8713|Surveying Services
872|8721|Accounting, Auditing, and Bookkeeping Services
873|8731|Commercial Physical and Biological Research
873|8732|Commercial Economic, Sociological, and Educational Research
873|8733|Noncommercial Research Organizations
873|8734|Testing Laboratories
874|8741|Management Services
874|8742|Management Consulting Services
874|8743|Public Relations Services
874|8744|Facilities Support Management Services
874|8748|Business Consulting Services, Not Elsewhere Classified
881|8811|Private Households
899|8999|Services, Not Elsewhere Classified
911|9111|Executive Offices
912|9121|Legislative Bodies
913|9131|Executive and Legislative Offices Combined
919|9199|General Government, Not Elsewhere Classified
921|9211|Courts
922|9221|Police Protection
922|9222|Legal Counsel and Prosecution
922|9223|Correctional Institutions
922|9224|Fire Protection
922|9229|Public Order and Safety, Not Elsewhere Classified
931|9311|Public Finance, Taxation, and Monetary Policy
941|9411|Administration of Educational Programs
943|9431|Administration of Public Health Programs
944|9441|Administration of Social, Human Resource and Income Maintenance Programs
945|9451|Administration of Veterans' Affairs, Except Health and Insurance
951|9511|Air and Water Resource and Solid Waste Management
951|9512|Land, Mineral, Wildlife, and Forest Conservation
953|9531|Administration of Housing Programs
953|9532|Administration of Urban Planning and Community and Rural Development
961|9611|Administration of General Economic Programs
962|9621|Regulation and Administration of Transportation Programs
963|9631|Regulation and Administration of Communications, Electric, Gas, and Other Utilities
964|9641|Regulation of Agricultural Marketing and Commodities
965|9651|Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors
966|9661|Space and Research and Technology
971|9711|National Security
972|9721|International Affairs
999|9999|Nonclassifiable Establishments
287|2837|Pharmaceuticals: Generic
000|0000|Unknown
